English,Spanish,French,Arabic,Greek,German,Italian,Portuguese,Russian,Chinese,Japanese,Indonesian,Hindi,Bengali
company,compañía,entreprise,شركة,εταιρεία,Unternehmen,azienda,empresa,компания,公司,会社,perusahaan,कंपनी,কোম্পানি
travel,viajar,voyage,يسافر,ταξίδι,reisen,viaggio,viagem,путешествовать,旅行,旅行,bepergian,यात्रा,ভ্রমণ
product,producto,produit,منتج,προϊόν,Produkt,prodotto,produto,продукт,产品,製品,produk,उत्पाद,পণ্য
for,para,pour,ل,για,für,per,para,для,为了,のために,untuk,के लिए,জন্য
some,alguno,quelques,بعض,μερικοί,manche,Alcuni,alguns,некоторый,一些,いくつかの,beberapa,कुछ,কিছু
in,en,dans,في,σε,In,In,em,в,在,で,di dalam,में,মধ্যে
items,elementos,articles,أغراض,είδη,Artikel,elementi,Unid,предметы,项目,アイテム,item,सामान,আইটেম
information,información,information,معلومة,πληροφορίες,Information,informazioni,Informação,информация,信息,情報,informasi,जानकारी,তথ্য
store,almacenar,magasin,محل,κατάστημα,speichern,negozio,loja,магазин,店铺,店,toko,इकट्ठा करना,দোকান
should,debería,devrait,يجب,πρέπει,sollen,Dovrebbe,deve,должен,应该,すべき,sebaiknya,चाहिए,উচিত
a,a,un,أ,ένα,A,UN,um,а,一个,ある,A,ए,ক
services,servicios,services,خدمات,υπηρεσίες,Dienstleistungen,servizi,serviços,услуги,服务,サービス,layanan,सेवा,সেবা
book,libro,livre,كتاب,βιβλίο,Buch,libro,livro,книга,书,本,buku,किताब,বই
no,No,Non,لا,Όχι,NEIN,NO,não,нет,不,いいえ,TIDAK,नहीं,না
must,debe,doit,يجب,πρέπει,muss,dovere,deve,должен,必须,しなければならない,harus,अवश्य,আবশ্যক
them,a ellos,eux,هم,τους,ihnen,loro,eles,их,他们,彼ら,mereka,उन्हें,তাদের
s,s,s,ق,μικρό,S,S,é,с,s,s,S,एस,s
privacy,privacidad,confidentialité,خصوصية,μυστικότητα,Privatsphäre,privacy,privacidade,конфиденциальность,隐私,プライバシー,pribadi,गोपनीयता,গোপনীয়তা
do,hacer,faire,يفعل,κάνω,Tun,Fare,fazer,делать,做,する,Mengerjakan,करना,করতে
ebay,ebay,ebay,موقع ئي باي,ebay,eBay,ebay,ebay,ebay,易趣,イーベイ,ebay,EBAY,ইবে
make,hacer,faire,يصنع,μάρκα,machen,Fare,fazer,делать,制作,作る,membuat,बनाना,করা
that,eso,que,الذي - التي,ότι,Das,Quello,que,что,那,それ,itu,वह,যে
me,a mí,moi,أنا,μου,Mich,Me,meu,мне,我,自分,Saya,मुझे,আমি
very,muy,très,جداً,πολύ,sehr,molto,muito,очень,非常,とても,sangat,बहुत,খুব
other,otro,autre,آخر,άλλος,andere,altro,outro,другой,其他,他の,lainnya,अन्य,অন্যান্য
to,a,à,ل,να,Zu,A,para,к,到,に,ke,को,থেকে
center,centro,centre,مركز,κέντρο,Center,centro,centro,центр,中心,中心,tengah,केंद्र,কেন্দ্র
data,datos,données,بيانات,δεδομένα,Daten,dati,dados,данные,数据,データ,data,डेटा,তথ্য
and,y,et,و,και,Und,E,e,и,和,そして,Dan,और,এবং
were,eran,étaient,كان,ήταν,war,erano,eram,были,是,だった,adalah,थे,ছিল
order,orden,commande,طلب,παραγγελία,Befehl,ordine,ordem,заказ,命令,注文,memesan,आदेश,আদেশ
one,uno,un,واحد,ένας,eins,uno,um,один,一,1つ,satu,एक,এক
international,internacional,international,دولي,διεθνής,international,internazionale,internacional,международный,国际的,国際的,internasional,अंतरराष्ट्रीय,আন্তর্জাতিক
buy,comprar,acheter,يشتري,αγορά,kaufen,acquistare,comprar,купить,买,買う,membeli,खरीदना,কিনতে
how,cómo,comment,كيف,πως,Wie,Come,como,как,如何,どうやって,Bagaimana,कैसे,কিভাবে
years,años,années,سنين,χρόνια,Jahre,anni,anos,годы,年,年,bertahun-tahun,साल,বছর
our,nuestro,notre,ملكنا,μας,unser,Nostro,nosso,наш,我们的,私たちの,kita,हमारा,আমাদের
item,artículo,article,غرض,είδος,Artikel,articolo,item,элемент,物品,アイテム,barang,वस्तु,আইটেম
music,música,musique,موسيقى,μουσική,Musik,musica,música,музыка,音乐,音楽,musik,संगीत,সঙ্গীত
would,quería,serait,كان,θα,würde,volevo,seria,бы,会,するだろう,akan,चाहेंगे,হবে
review,revisar,revoir,مراجعة,κριτική,Rezension,revisione,análise,обзор,审查,レビュー,tinjauan,समीक्षा,পর্যালোচনা
but,pero,mais,لكن,αλλά,Aber,Ma,mas,но,但,しかし,Tetapi,लेकिन,কিন্তু
f,F,f,و,φά,F,F,f,ж,f,f,F,एफ,চ
products,productos,produits,منتجات,προϊόντα,Produkte,prodotti,produtos,продукты,产品,製品,produk,उत्पादों,পণ্য
of,de,de,ل,του,von,Di,de,из,的,の,dari,का,এর
been,estado,a été,كان,ήταν,gewesen,stato,estive,был,到过,された,pernah,गया,হয়েছে
the,el,le,ال,ο,Die,IL,o,тот,这,の,itu,,দ
she,ella,elle,هي,αυτή,sie,Lei,ela,она,她,彼女,dia,वह,সে
free,gratis,gratuit,حر,δωρεάν,frei,gratuito,livre,бесплатно,自由的,無料,bebas,मुक्त,বিনামূল্যে
real,real,réel,حقيقي,πραγματικός,real,vero,real,настоящий,真实的,本物,nyata,असली,বাস্তব
most,mayoría,la plupart,معظم,πλέον,am meisten,maggior parte,maioria,большинство,最多,ほとんど,paling,अधिकांश,সর্বাধিক
am,soy,suis,أكون,π.μ,Bin,Sono,sou,являюсь,是,午前,pagi,पूर्वाह्न,am
links,campo de golf,links,الروابط,έδαφος διά παιγνίδι γκολφ,Links,collegamenti,links,ссылки,链接,リンク,tautan,लिंक,লিঙ্ক
search,buscar,recherche,يبحث,έρευνα,suchen,ricerca,procurar,поиск,搜索,検索,mencari,खोज,অনুসন্ধান
hotel,hotel,hôtel,الفندق,ξενοδοχείο,Hotel,albergo,hotel,отель,酒店,ホテル,hotel,होटल,হোটেল
last,último,dernier,آخر,τελευταίος,zuletzt,scorso,durar,последний,最后的,最後,terakhir,अंतिम,শেষ
first,primero,d'abord,أولاً,πρώτα,Erste,Primo,primeiro,первый,第一的,初め,Pertama,पहला,প্রথম
each,cada,chaque,كل,κάθε,jede,ogni,cada,каждый,每个,それぞれ,setiap,प्रत्येक,প্রতিটি
has,tiene,a,لديه,έχει,hat,ha,tem,имеет,有,もっている,memiliki,है,আছে
united,unido,uni,متحد,ενωμένος,vereinigt,unito,unido,объединенный,团结的,ユナイテッド,serikat,यूनाइटेड,ঐক্যবদ্ধ
work,trabajar,travail,عمل,εργασία,arbeiten,lavoro,trabalhar,работа,工作,仕事,bekerja,काम,কাজ
e,mi,e,ه,μι,e,e,e,е,e,e,e,ई,e
m,metro,m,م,m,M,M,eu,м,米,メートル,M,एम,মি
my,mi,mon,لي,μου,Mein,Mio,meu,мой,我的,私の,-ku,मेरा,আমার
great,excelente,super,عظيم,μεγάλος,Großartig,Grande,ótimo,большой,伟大的,素晴らしい,Besar,महान,মহান
b,b,b,ب,σι,B,B,b,б,乙,b,B,बी,খ
c,do,c,ج,ντο,C,C,c,с,c,c,C,सी,গ
through,a través de,à travers,خلال,διά μέσου,durch,Attraverso,através,через,通过,を通して,melalui,के माध्यम से,মাধ্যমে
page,página,page,صفحة,σελίδα,Seite,pagina,página,страница,页,ページ,halaman,पेज,পৃষ্ঠা
could,podría,pourrait,استطاع,θα μπορούσε,könnte,Potevo,poderia,мог,可以,できた,bisa,सकना,পারে
go,ir,aller,يذهب,πάω,gehen,andare,ir,идти,去,行く,pergi,जाना,যান
online,en línea,en ligne,متصل,online,online,in linea,on-line,онлайн,在线的,オンライン,on line,ऑनलाइन,অনলাইন
school,escuela,école,مدرسة,σχολείο,Schule,scuola,escola,школа,学校,学校,sekolah,विद्यालय,স্কুল
these,estos,ces,هؤلاء,αυτοί,diese,questi,esses,эти,这些,これら,ini,इन,এই
if,si,si,لو,αν,Wenn,Se,se,если,如果,もし,jika,अगर,যদি
part,parte,partie,جزء,μέρος,Teil,parte,papel,часть,部分,一部,bagian,भाग,অংশ
used,usado,utilisé,مستخدم,μεταχειρισμένος,gebraucht,usato,usado,использовал,用过的,使用済み,digunakan,इस्तेमाल किया गया,ব্যবহৃত
view,vista,voir,منظر,θέα,Sicht,visualizzazione,visualizar,вид,看法,ビュー,melihat,देखना,দেখুন
address,DIRECCIÓN,adresse,عنوان,διεύθυνση,Adresse,indirizzo,endereço,адрес,地址,住所,alamat,पता,ঠিকানা
high,alto,haut,عالي,ψηλά,hoch,alto,alto,высокий,高的,高い,tinggi,उच्च,উচ্চ
about,acerca de,à propos,عن,για,um,Di,sobre,о,关于,について,tentang,के बारे में,সম্পর্কে
p,pag,p,ص,σελ,P,P,p,п,p,p,P,पी,পি
next,próximo,suivant,التالي,επόμενος,nächste,Prossimo,próximo,следующий,下一个,次,Berikutnya,अगला,পরবর্তী
pm,p.m,pm,مساءً,Μμ,Uhr,pm,tarde,вечер,下午,午後,pm,बजे,pm
internet,Internet,Internet,إنترنت,Internet,Internet,Internet,Internet,Интернет,互联网,インターネット,Internet,इंटरनेट,ইন্টারনেট
books,libros,livres,كتب,βιβλία,Bücher,libri,livros,книги,图书,本,buku,किताबें,বই
us,a nosotros,nous,نحن,μας,uns,noi,nós,нас,我们,私たち,kita,हम,আমাদের
management,gestión,gestion,إدارة,διαχείριση,Management,gestione,gerenciamento,управление,管理,管理,pengelolaan,प्रबंध,ব্যবস্থাপনা
re,re,concernant,يكرر,σχετικά με,Re,Rif,ré,ре,关于,再,ulang,दोबारा,পুনরায়
get,conseguir,obtenir,يحصل,παίρνω,erhalten,Ottenere,pegar,получать,得到,得る,mendapatkan,पाना,পেতে
posted,al corriente,posté,نشر,αναρτήθηκε,gepostet,pubblicato,postado,опубликовано,发布,投稿されました,diposting,की तैनाती,পোস্ট করা হয়েছে
public,público,publique,عام,κοινό,öffentlich,pubblico,público,общественный,民众,公共,publik,जनता,পাবলিক
can,poder,peut,يستطيع,κουτί,dürfen,Potere,pode,может,能,できる,Bisa,कर सकना,পারে
days,días,jours,أيام,ημέρες,Tage,giorni,dias,дни,天,日,hari,दिन,দিন
world,mundo,monde,عالم,κόσμος,Welt,mondo,mundo,мир,世界,世界,dunia,दुनिया,বিশ্ব
help,ayuda,aide,يساعد,βοήθεια,helfen,aiuto,ajuda,помощь,帮助,ヘルプ,membantu,मदद,সাহায্য
take,llevar,prendre,يأخذ,παίρνω,nehmen,Prendere,pegar,брать,拿,取る,mengambil,लेना,নিতে
rights,derechos,droits,حقوق,δικαιώματα,Rechte,diritti,direitos,права,权利,権利,hak,अधिकार,অধিকার
home,hogar,maison,بيت,σπίτι,heim,casa,lar,дом,家,家,rumah,घर,বাড়ি
way,forma,chemin,طريق,τρόπος,Weg,modo,caminho,способ,方式,方法,jalan,रास्ता,উপায়
n,norte,n,ن,n,N,N,n,н,n,n,N,एन,n
now,ahora,maintenant,الآن,τώρα,Jetzt,Ora,agora,сейчас,现在,今,Sekarang,अब,এখন
design,diseño,conception,تصميم,σχέδιο,Design,progetto,projeto,дизайн,设计,デザイン,desain,डिज़ाइन,নকশা
info,información,infos,معلومات,πληροφορίες,Info,informazioni,informações,информация,信息,情報,info,जानकारी,তথ্য
will,voluntad,volonté,سوف,θα,Wille,Volere,vai,воля,将要,意思,akan,इच्छा,হবে
games,juegos,jeux,ألعاب,παιχνίδια,Spiele,giochi,jogos,игры,游戏,ゲーム,pertandingan,खेल,গেম
health,salud,santé,صحة,υγεία,Gesundheit,salute,saúde,здоровье,健康,健康,kesehatan,स्वास्थ्य,স্বাস্থ্য
is,es,est,يكون,είναι,Ist,È,é,является,是,は,adalah,है,হয়
also,también,aussi,أيضًا,επίσης,Auch,Anche,também,также,还,また,Juga,भी,এছাড়াও
car,auto,voiture,سيارة,αυτοκίνητο,Auto,auto,carro,машина,车,車,mobil,कार,গাড়ী
where,dónde,où,أين,όπου,Wo,Dove,onde,где,在哪里,どこ,Di mana,कहाँ,যেখানে
we,nosotros,nous,نحن,εμείς,Wir,Noi,nós,мы,我们,私たちは,Kami,हम,আমরা
know,saber,savoir,يعرف,ξέρω,wissen,Sapere,saber,знать,知道,知る,tahu,जानना,জানি
two,dos,deux,اثنين,δυο,zwei,due,dois,два,二,二,dua,दो,দুই
web,web,la toile,الويب,ιστός,Web,web,rede,сеть,网络,ウェブ,web,वेब,ওয়েব
national,nacional,national,وطني,εθνικός,national,nazionale,nacional,национальный,国家的,全国,nasional,राष्ट्रीय,জাতীয়
d,d,d,د,ρε,D,D,d,д,d,d,D,डी,d
was,era,était,كان,ήταν,War,era,era,был,曾是,だった,adalah,था,ছিল
email,correo electrónico,e-mail,بريد إلكتروني,e-mail,E-Mail,e-mail,e-mail,электронная почта,电子邮件,電子メール,e-mail,ईमेल,ইমেইল
who,OMS,OMS,من,ΠΟΥ,WHO,Chi,Quem,ВОЗ,WHO,誰が,WHO,कौन,WHO
education,educación,éducation,تعليم,εκπαίδευση,Ausbildung,istruzione,educação,образование,教育,教育,pendidikan,शिक्षा,শিক্ষা
well,Bueno,Bien,حسنًا,Λοιπόν,Also,BENE,bem,хорошо,出色地,良い,Sehat,कुंआ,ভাল
an,un,un,ان,ένα,ein,UN,um,а,一个,の,sebuah,एक,একটি
program,programa,programme,برنامج,πρόγραμμα,Programm,programma,programa,программа,程序,プログラム,program,कार्यक्रम,প্রোগ্রাম
into,en,dans,داخل,σε,hinein,in,em,в,进入,の中へ,ke dalam,में,মধ্যে
business,negocio,entreprise,عمل,επιχείρηση,Geschäft,Attività commerciale,negócios,бизнес,商业,仕事,bisnis,व्यापार,ব্যবসা
office,oficina,bureau,مكتب,γραφείο,Büro,ufficio,escritório,офис,办公室,オフィス,kantor,कार्यालय,অফিস
video,video,vidéo,فيديو,βίντεο,Video,video,vídeo,видео,视频,ビデオ,video,वीडियो,ভিডিও
more,más,plus,أكثر,περισσότερο,mehr,Di più,mais,более,更多的,もっと,lagi,अधिक,আরো
reviews,opiniones,avis,المراجعات,κριτικές,Bewertungen,recensioni,comentários,обзоры,评论,レビュー,ulasan,समीक्षा,পর্যালোচনা
day,día,jour,يوم,ημέρα,Tag,giorno,dia,день,天,日,hari,दिन,দিন
here,aquí,ici,هنا,εδώ,Hier,Qui,aqui,здесь,这里,ここ,Di Sini,यहाँ,এখানে
results,resultados,résultats,نتائج,αποτελέσματα,Ergebnisse,risultati,resultados,результаты,结果,結果,hasil,परिणाम,ফলাফল
good,bien,bien,جيد,καλός,Gut,Bene,bom,хороший,好的,良い,Bagus,अच्छा,ভাল
new,nuevo,nouveau,جديد,νέος,neu,nuovo,novo,новый,新的,新しい,baru,नया,নতুন
map,mapa,carte,رسم خريطة,χάρτης,Karte,mappa,mapa,карта,地图,地図,peta,नक्शा,মানচিত্র
year,año,année,سنة,έτος,Jahr,anno,ano,год,年,年,tahun,वर्ष,বছর
contact,contacto,contact,اتصال,επαφή,Kontakt,contatto,contato,контакт,接触,接触,kontak,संपर्क,যোগাযোগ
using,usando,en utilisant,استخدام,χρησιμοποιώντας,verwenden,utilizzando,usando,с использованием,使用,を使用して,menggunakan,का उपयोग करते हुए,ব্যবহার করে
jan,ene,jan,يناير,Ιαν,Jan,gen,janeiro,январь,一月,1月,Januari,जनवरी,জান
have,tener,avoir,يملك,έχω,haben,Avere,ter,иметь,有,持っている,memiliki,पास होना,আছে
full,lleno,complet,ممتلىء,γεμάτος,voll,pieno,completo,полный,满的,満杯,penuh,भरा हुआ,পূর্ণ
state,estado,État,ولاية,κατάσταση,Zustand,stato,estado,состояние,状态,州,negara,राज्य,রাষ্ট্র
when,cuando,quand,متى,όταν,Wann,Quando,quando,когда,什么时候,いつ,Kapan,कब,যখন
those,aquellos,ceux,أولئك,εκείνοι,diese,quelli,aqueles,те,那些,それらの,itu,वे,যারা
then,entonces,alors,ثم,τότε,Dann,Poi,então,затем,然后,それから,Kemudian,तब,তারপর
all,todo,tous,الجميع,όλοι,alle,Tutto,todos,все,全部,全て,semua,सभी,সব
mail,correo,mail,بريد,ταχυδρομείο,Post,posta,correspondência,почта,邮件,郵便,surat,मेल,মেইল
over,encima,sur,زيادة,υπερ,über,Sopra,sobre,над,超过,以上,lebih,ऊपर,ওভার
his,su,son,له,του,sein,il suo,dele,его,他的,彼の,miliknya,उसका,তার
local,local,locale,محلي,τοπικός,lokal,locale,local,местный,当地的,地元,lokal,स्थानीय,স্থানীয়
software,software,logiciel,برمجة,λογισμικό,Software,software,programas,программное обеспечение,软件,ソフトウェア,perangkat lunak,सॉफ़्टवेयर,সফ্টওয়্যার
your,su,ton,لك,σας,dein,tuo,seu,твой,你的,あなたの,milikmu,आपका,আপনার
january,enero,Janvier,يناير,Ιανουάριος,Januar,Gennaio,janeiro,январь,一月,1月,Januari,जनवरी,জানুয়ারী
just,justo,juste,فقط,μόλις,Nur,Appena,apenas,только,只是,ただ,hanya,अभी,শুধু
so,entonces,donc,لذا,έτσι,Also,COSÌ,então,так,所以,それで,Jadi,इसलिए,তাই
as,como,comme,مثل,ως,als,COME,como,как,作为,として,sebagai,जैसा,হিসাবে
because,porque,parce que,لأن,επειδή,Weil,Perché,porque,потому что,因为,なぜなら,Karena,क्योंकि,কারণ
best,mejor,meilleur,أفضل,καλύτερος,am besten,migliore,melhor,лучший,最好的,最高,terbaik,श्रेष्ठ,সেরা
university,universidad,université,جامعة,πανεπιστήμιο,Universität,università,universidade,университет,大学,大学,universitas,विश्वविद्यालय,বিশ্ববিদ্যালয়
name,nombre,nom,اسم,όνομα,Name,nome,nome,имя,姓名,名前,nama,नाम,নাম
at,en,à,في,στο,bei,A,no,в,在,で,pada,पर,এ
only,solo,seulement,فقط,μόνο,nur,soltanto,apenas,только,仅有的,のみ,hanya,केवल,শুধুমাত্র
type,tipo,taper,يكتب,τύπος,Typ,tipo,tipo,тип,类型,タイプ,jenis,प्रकार,প্রকার
from,de,depuis,من,από,aus,da,de,от,从,から,dari,से,থেকে
research,investigación,recherche,بحث,έρευνα,Forschung,ricerca,pesquisar,исследовать,研究,研究,riset,अनुसंधान,গবেষণা
list,lista,liste,قائمة,λίστα,Liste,lista,lista,список,列表,リスト,daftar,सूची,তালিকা
see,ver,voir,يرى,βλέπω,sehen,Vedere,ver,видеть,看,見る,melihat,देखना,দেখুন
right,bien,droite,يمين,δικαίωμα,Rechts,Giusto,certo,верно,正确的,右,Kanan,सही,অধিকার
message,mensaje,message,رسالة,μήνυμα,Nachricht,messaggio,mensagem,сообщение,信息,メッセージ,pesan,संदेश,বার্তা
are,son,sont,نكون,εκτάριο,Sind,Sono,são,являются,是,は,adalah,हैं,হয়
general,general,général,عام,γενικός,allgemein,generale,em geral,общий,一般的,一般的な,umum,सामान्य,সাধারণ
had,tenía,avait,ملك,είχε,hatte,avevo,tive,имел,有,持っていた,telah,था,ছিল
there,allá,là,هناك,εκεί,Dort,Là,lá,там,那里,そこには,di sana,वहाँ,সেখানে
be,ser,être,يكون,είναι,Sei,Essere,ser,быть,是,なれ,menjadi,होना,হতে
send,enviar,envoyer,يرسل,στέλνω,schicken,Inviare,enviar,отправлять,发送,送信,mengirim,भेजना,পাঠান
support,apoyo,soutien,يدعم,υποστήριξη,Unterstützung,supporto,apoiar,поддерживать,支持,サポート,mendukung,सहायता,সমর্থন
under,bajo,sous,تحت,υπό,unter,Sotto,sob,под,在下面,下,di bawah,अंतर्गत,অধীন
people,gente,personnes,الناس,άνθρωποι,Menschen,persone,pessoas,люди,人们,人々,rakyat,लोग,মানুষ
or,o,ou,أو,ή,oder,O,ou,или,或者,または,atau,या,বা
any,cualquier,n'importe lequel,أي,κάθε,beliebig,Qualunque,qualquer,любой,任何,どれでも,setiap,कोई,যেকোনো
did,hizo,a fait,فعل,έκανε,tat,fatto,fez,делал,做过,した,telah melakukan,किया,করেছে
copyright,derechos de autor,droit d'auteur,حقوق الطبع والنشر,πνευματική ιδιοκτησία,Copyright,copyright,direitos autorais,авторское право,版权,著作権,hak cipta,कॉपीराइट,কপিরাইট
not,no,pas,لا,δεν,nicht,non,não,нет,不是,ない,bukan,नहीं,না
set,colocar,ensemble,تعيين,σειρά,Satz,impostato,definir,набор,放,セット,mengatur,तय करना,সেট
top,arriba,haut,قمة,κορυφή,Spitze,superiore,principal,вершина,顶部,トップ,atas,शीर्ष,শীর্ষ
use,usar,utiliser,يستخدم,χρήση,verwenden,utilizzo,usar,использовать,使用,使用,menggunakan,उपयोग,ব্যবহার
hotels,hoteles,hôtels,الفنادق,ξενοδοχεία,Hotels,alberghi,hotéis,отели,酒店,ホテル,hotel,होटल,হোটেল
available,disponible,disponible,متاح,διαθέσιμος,verfügbar,disponibile,disponível,доступный,可用的,利用可能,tersedia,उपलब्ध,উপলব্ধ
it,él,il,هو - هي,το,Es,Esso,isto,это,它,それ,dia,यह,এটা
does,hace,fait,يفعل,κάνει,tut,fa,faz,делает,做,する,melakukan,करता है,করে
back,atrás,dos,خلف,πίσω,zurück,Indietro,voltar,назад,后退,戻る,kembali,पीछे,ফিরে
out,afuera,dehors,خارج,έξω,aus,fuori,fora,вне,出去,外,keluar,बाहर,আউট
you,tú,toi,أنت,εσείς,Du,Voi,você,ты,你,あなた,Anda,आप,আপনি
before,antes,avant,قبل,προτού,vor,Prima,antes,до,前,前に,sebelum,पहले,আগে
please,por favor,s'il te plaît,لو سمحت,παρακαλώ,Bitte,Per favore,por favor,пожалуйста,请,お願いします,Tolong,कृपया,দয়া করে
de,Delaware,de,دي,de,de,de,de,де,德,デ,de,डे,ডি
date,fecha,date,تاريخ,ημερομηνία,Datum,data,data,дата,日期,日付,tanggal,तारीख,তারিখ
news,noticias,nouvelles,أخبار,νέα,Nachricht,notizia,notícias,новости,消息,ニュース,berita,समाचार,খবর
terms,términos,termes,شروط,όροι,Bedingungen,termini,termos,условия,条款,条項,ketentuan,शर्तें,শর্তাবলী
such,semejante,tel,هذه,τέτοιος,solch,come,tal,такой,这样的,そのような,seperti,ऐसा,যেমন
said,dicho,dit,قال,είπε,sagte,disse,disse,сказал,说,言った,dikatakan,कहा,বলেছেন
price,precio,prix,سعر,τιμή,Preis,prezzo,preço,цена,价格,価格,harga,कीमत,মূল্য
their,su,leur,هُم,τους,ihre,loro,deles,их,他们的,彼らの,milik mereka,उनका,তাদের
line,línea,doubler,خط,γραμμή,Linie,linea,linha,линия,线,ライン,garis,रेखा,লাইন
number,número,nombre,رقم,αριθμός,Nummer,numero,número,число,数字,番号,nomor,संख्या,সংখ্যা
i,i,je,أنا,εγώ,ich,io,eu,я,我,私,Saya,मैं,i
user,usuario,utilisateur,مستخدم,μεταχειριζόμενος,Benutzer,utente,usuário,пользователь,用户,ユーザー,pengguna,उपयोगकर्ता,ব্যবহারকারী
which,cual,lequel,أيّ,ο οποίος,welche,Quale,qual,который,哪个,どれの,yang,कौन,যা
with,con,avec,مع,με,mit,con,com,с,和,と,dengan,साथ,সঙ্গে
details,detalles,détails,تفاصيل,καθέκαστα,Details,dettagli,detalhes,подробности,细节,詳細,detail,विवरण,বিস্তারিত
policy,política,politique,سياسة,πολιτική,Politik,politica,política,политика,政策,ポリシー,kebijakan,नीति,নীতি
this,este,ce,هذا,αυτό,Das,Questo,esse,этот,这,これ,ini,यह,এই
many,muchos,beaucoup,كثير,πολοί,viele,molti,muitos,много,许多,多くの,banyak,अनेक,অনেক
than,que,que,من,από,als,di,que,чем,比,よりも,dibandingkan,बजाय,চেয়ে
what,qué,quoi,ماذا,Τι,Was,Che cosa,o que,что,什么,何,Apa,क्या,কি
member,miembro,membre,عضو,μέλος,Mitglied,membro,membro,член,成员,メンバー,anggota,सदस्य,সদস্য
add,agregar,ajouter,يضيف,προσθέτω,hinzufügen,aggiungere,adicionar,добавлять,添加,追加,menambahkan,जोड़ना,যোগ করুন
need,necesidad,besoin,يحتاج,ανάγκη,brauchen,Bisogno,precisar,нуждаться,需要,必要,membutuhkan,ज़रूरत,প্রয়োজন
x,incógnita,x,س,x,X,X,x,х,x,×,X,एक्स,x
may,puede,peut,يمكن,Μάιος,Mai,Maggio,poderia,может,可能,5月,mungkin,मई,হতে পারে
off,apagado,désactivé,عن,μακριά από,aus,spento,desligado,выключенный,离开,オフ,mati,बंद,বন্ধ
t,t,t,ر,t,T,T,t,т,t,t,T,टी,t
sex,sexo,sexe,الجنس,φύλο,Sex,sesso,sexo,секс,性别,セックス,seks,सेक्स,যৌনতা
service,servicio,service,خدمة,υπηρεσία,Service,servizio,serviço,услуга,服务,サービス,melayani,सेवा,সেবা
up,arriba,en haut,أعلى,επάνω,hoch,su,acima,вверх,向上,上,ke atas,ऊपर,আপ
by,por,par,بواسطة,με,von,di,por,к,经过,による,oleh,द्वारा,দ্বারা
