English,Spanish,French,Arabic,Greek,German,Italian,Portuguese,Russian,Chinese,Japanese,Indonesian,Hindi,Bengali
credit,crédito,crédit,ائتمان,πίστωση,Kredit,credito,crédito,кредит,信用,クレジット,kredit,श्रेय,ক্রেডিট
point,punto,indiquer,نقطة,σημείο,Punkt,punto,apontar,точка,观点,ポイント,titik,बिंदु,বিন্দু
join,unirse,rejoindre,ينضم,ενώνω,verbinden,giuntura,juntar,присоединиться,加入,参加する,bergabung,जोड़ना,যোগদান
science,ciencia,science,علوم,επιστήμη,Wissenschaft,scienza,ciência,наука,科学,科学,sains,विज्ञान,বিজ্ঞান
men,hombres,hommes,الرجال,άνδρες,Männer,uomini,homens,мужчины,男人,男性,laki-laki,पुरुषों,পুরুষদের
categories,categorias,catégories,فئات,κατηγορίες,Kategorien,categorie,categorias,категории,类别,カテゴリ,kategori,श्रेणियाँ,বিভাগ
advanced,avanzado,avancé,متقدم,προχωρημένος,fortschrittlich,avanzato,avançado,передовой,先进的,高度な,canggih,विकसित,উন্নত
west,Oeste,Ouest,الغرب,Δύση,Westen,ovest,oeste,запад,西方,西,Barat,पश्चिम,পশ্চিম
sales,ventas,ventes,مبيعات,εμπορικός,Verkäufe,saldi,vendas,продажи,销售量,販売,penjualan,बिक्री,বিক্রয়
look,mirar,regarder,ينظر,ματιά,sehen,Aspetto,olhar,смотреть,看,見て,Lihat,देखना,তাকান
english,inglés,Anglais,إنجليزي,αγγλικός,Englisch,inglese,inglês,английский,英语,英語,bahasa inggris,अंग्रेज़ी,ইংরেজি
left,izquierda,gauche,غادر,αριστερά,links,Sinistra,esquerda,левый,左边,左,kiri,बाएं,বাম
team,equipo,équipe,فريق,ομάδα,Team,squadra,equipe,команда,团队,チーム,tim,टीम,দল
community,comunidad,communauté,مجتمع,κοινότητα,Gemeinschaft,comunità,comunidade,сообщество,社区,コミュニティ,masyarakat,समुदाय,সম্প্রদায়
box,caja,boîte,صندوق,κουτί,Kasten,scatola,caixa,коробка,盒子,箱,kotak,डिब्बा,বাক্স
conditions,condiciones,conditions,شروط,συνθήκες,Bedingungen,condizioni,condições,условия,状况,条件,kondisi,स्थितियाँ,শর্তাবলী
select,seleccionar,sélectionner,يختار,επιλέγω,wählen,selezionare,selecione,выбирать,选择,選択する,memilih,चुनना,নির্বাচন করুন
windows,ventanas,fenêtres,ويندوز,παράθυρα,Fenster,finestre,Windows,окна,视窗,窓,jendela,विंडोज़,জানালা
photos,fotos,des photos,صور,φωτογραφίες,Fotos,foto,fotos,фотографии,照片,写真,foto,तस्वीरें,ফটো
gay,homosexuales,gay,مثلي الجنس,ομοφυλόφιλος,schwul,gay,homossexual,гей,同性恋,ゲイ,homo,समलैंगिक,সমকামী
thread,hilo,fil,خيط,νήμα,Faden,filo,fio,нить,线,糸,benang,धागा,থ্রেড
week,semana,semaine,أسبوع,εβδομάδα,Woche,settimana,semana,неделя,星期,週,pekan,सप्ताह,সপ্তাহ
category,categoría,catégorie,فئة,κατηγορία,Kategorie,categoria,categoria,категория,类别,カテゴリ,kategori,वर्ग,বিভাগ
note,nota,note,ملحوظة,σημείωμα,Notiz,nota,observação,примечание,笔记,注記,catatan,टिप्पणी,নোট
live,vivir,en direct,يعيش,ζω,live,vivere,ao vivo,жить,居住,ライブ,hidup,रहना,বাস
large,grande,grand,كبير,μεγάλο,groß,grande,grande,большой,大的,大きい,besar,बड़ा,বড়
gallery,galería,galerie,معرض,στοά,Galerie,galleria,galeria,галерея,画廊,ギャラリー,galeri,गैलरी,গ্যালারি
table,mesa,tableau,طاولة,τραπέζι,Tisch,tavolo,mesa,стол,桌子,テーブル,meja,मेज़,টেবিল
register,registro,registre,يسجل,μητρώο,registrieren,registro,registrar,зарегистрироваться,登记,登録する,daftar,पंजीकरण करवाना,নিবন্ধন
however,sin embargo,cependant,لكن,ωστόσο,Jedoch,Tuttavia,no entanto,однако,然而,しかし,Namun,तथापि,যাইহোক
june,junio,juin,يونيو,Ιούνιος,Juni,giugno,junho,июнь,六月,6月,Juni,जून,জুন
october,octubre,octobre,أكتوبر,Οκτώβριος,Oktober,ottobre,outubro,октябрь,十月,10月,Oktober,अक्टूबर,অক্টোবর
november,noviembre,novembre,نوفمبر,Νοέμβριος,November,novembre,novembro,ноябрь,十一月,11月,November,नवंबर,নভেম্বর
market,mercado,marché,سوق,αγορά,Markt,mercato,mercado,рынок,市场,市場,pasar,बाज़ार,বাজার
library,biblioteca,bibliothèque,مكتبة,βιβλιοθήκη,Bibliothek,biblioteca,biblioteca,библиотека,图书馆,図書館,perpustakaan,पुस्तकालय,লাইব্রেরি
really,en realidad,vraiment,حقًا,πραγματικά,Wirklich,Veramente,realmente,Действительно,真的,本当に,Sungguh,वास्तव में,সত্যিই
action,acción,action,فعل,δράση,Aktion,azione,Ação,действие,行动,アクション,tindakan,कार्रवाई,কর্ম
start,comenzar,commencer,يبدأ,αρχή,Start,inizio,começar,начинать,开始,始める,awal,शुरू,শুরু
series,serie,série,مسلسل,σειρά,Serie,serie,série,ряд,系列,シリーズ,seri,शृंखला,সিরিজ
model,modelo,modèle,نموذج,μοντέλο,Modell,modello,modelo,модель,模型,モデル,model,नमूना,মডেল
features,características,caractéristiques,سمات,χαρακτηριστικά,Merkmale,caratteristiche,características,функции,特征,特徴,fitur,विशेषताएँ,বৈশিষ্ট্য
air,aire,air,هواء,αέρας,Luft,aria,ar,воздух,空气,空気,udara,वायु,বায়ু
industry,industria,industrie,صناعة,βιομηχανία,Industrie,industria,indústria,промышленность,行业,業界,industri,उद्योग,শিল্প
plan,plan,plan,يخطط,σχέδιο,planen,piano,plano,план,计划,プラン,rencana,योजना,পরিকল্পনা
human,humano,humain,بشر,ανθρώπινος,menschlich,umano,humano,человек,人类,人間,manusia,इंसान,মানব
provided,proporcionó,fourni,متاح,παρέχεται,bereitgestellt,fornito,oferecido,предоставил,假如,提供された,asalkan,प्रदान किया,প্রদান করা হয়
tv,televisor,TV,تلفزيون,τηλεόραση,Fernseher,TV,TV,телевизор,电视,テレビ,televisi,टीवी,টিভি
yes,Sí,Oui,نعم,Ναί,Ja,SÌ,sim,да,是的,はい,Ya,हाँ,হ্যাঁ
required,requerido,requis,مطلوب,υποχρεούμαι,erforderlich,necessario,obrigatório,необходимый,必需的,必須,diperlukan,आवश्यक,প্রয়োজনীয়
second,segundo,deuxième,ثانية,δεύτερος,zweite,secondo,segundo,второй,第二,2番,Kedua,दूसरा,দ্বিতীয়
hot,caliente,chaud,حار,καυτό,heiß,caldo,quente,горячий,热的,熱い,panas,गर्म,গরম
accessories,accesorios,accessoires,مُكَمِّلات,αξεσουάρ,Zubehör,accessori,acessórios,аксессуары,配件,アクセサリー,aksesoris,सामान,আনুষাঙ্গিক
cost,costo,coût,يكلف,κόστος,kosten,costo,custo,расходы,成本,料金,biaya,लागत,খরচ
movie,película,film,فيلم,ταινία,Film,film,filme,фильм,电影,映画,film,चलचित्र,চলচ্চিত্র
forums,foros,forums,المنتديات,φόρουμ,Foren,forum,fóruns,форумы,论坛,フォーラム,forum,मंचों,ফোরাম
march,marzo,mars,يمشي,πορεία,Marsch,marzo,marchar,маршировать,行进,行進,berbaris,मार्च,মার্চ
la,la,la,لا,λα,la,la,la,ла,拉,ラ,la,ला,la
september,septiembre,septembre,سبتمبر,Σεπτέμβριος,September,settembre,setembro,сентябрь,九月,9月,September,सितम्बर,সেপ্টেম্বর
better,mejor,mieux,أحسن,καλύτερα,besser,Meglio,melhorar,лучше,更好的,より良い,lebih baik,बेहतर,ভাল
say,decir,dire,يقول,λέγω,sagen,Dire,dizer,сказать,说,言う,mengatakan,कहना,বল
questions,preguntas,des questions,أسئلة,ερωτήσεις,Fragen,domande,questões,вопросы,问题,質問,pertanyaan,प्रश्न,প্রশ্ন
july,julio,juillet,يوليو,Ιούλιος,Juli,luglio,julho,июль,七月,7月,Juli,जुलाई,জুলাই
yahoo,yahoo,Yahoo,ياهو,yahoo,Yahoo,yahoo,Google,Yahoo,雅虎,ヤフー,yahoo,याहू,ইয়াহু
both,ambos,les deux,كلاهما,και οι δύο,beide,Entrambi,ambos,оба,两个都,両方,keduanya,दोनों,উভয়
medical,médico,médical,طبي,ιατρικός,medizinisch,medico,médico,медицинский,医疗的,医学,medis,चिकित्सा,চিকিৎসা
test,prueba,test,امتحان,δοκιμή,prüfen,test,teste,тест,测试,テスト,tes,परीक्षा,পরীক্ষা
friend,amigo,ami,صديق,φίλος,Freund,amico,amigo,друг,朋友,友人,teman,दोस्त,বন্ধু
come,venir,viens,يأتي,Έλα,kommen,Venire,vir,приходить,来,来る,datang,आना,আসা
dec,dic,déc,ديسمبر,Δεκ,Dez,dicembre,dezembro,декабрь,十二月,12月,desember,दिसम्बर,ডিসেম্বর
server,servidor,serveur,الخادم,υπηρέτης,Server,server,servidor,сервер,服务器,サーバ,server,सर्वर,সার্ভার
pc,ordenador personal,ordinateur,جهاز كمبيوتر,pc,Stk,pc,computador,ПК,个人电脑,パソコン,buah,पीसी,পিসি
study,estudiar,étude,يذاكر,μελέτη,Studie,studio,estudar,изучать,学习,勉強,belajar,अध्ययन,অধ্যয়ন
application,solicitud,application,طلب,εφαρμογή,Anwendung,applicazione,aplicativo,приложение,应用,応用,aplikasi,आवेदन,আবেদন
cart,carro,panier,عربة,καροτσάκι,Warenkorb,carrello,carrinho,тележка,大车,カート,keranjang,कार्ट,কার্ট
staff,personal,personnel,طاقم عمل,προσωπικό,Personal,personale,funcionários,персонал,职员,スタッフ,staf,कर्मचारी,কর্মী
articles,artículos,articles,مقالات,άρθρα,Artikel,articoli,artigos,статьи,文章,記事,artikel,सामग्री,প্রবন্ধ
san,san,San,سان,san,san,san,São,Сан,桑,さん,san,सैन,সান
feedback,comentario,retour,تعليق,ανατροφοδότηση,Rückmeldung,feedback,opinião,обратная связь,反馈,フィードバック,masukan,प्रतिक्रिया,প্রতিক্রিয়া
again,de nuevo,encore,مرة أخرى,πάλι,wieder,Ancora,de novo,снова,再次,また,lagi,दोबारा,আবার
play,jugar,jouer,يلعب,παιχνίδι,spielen,giocare,jogar,играть,玩,遊ぶ,bermain,खेल,খেলা
looking,mirando,regarder,أبحث,κοιτάζοντας,suchen,guardare,olhando,смотрящий,寻找,探している,melihat,देखना,খুঁজছেন
issues,asuntos,problèmes,مشاكل,ζητήματα,Probleme,problemi,problemas,проблемы,问题,問題,masalah,समस्याएँ,সমস্যা
april,abril,avril,أبريل,Απρίλιος,April,aprile,abril,апрель,四月,4月,April,अप्रैल,এপ্রিল
never,nunca,jamais,أبداً,ποτέ,niemals,Mai,nunca,никогда,绝不,一度もない,tidak pernah,कभी नहीं,কখনই
users,usuarios,utilisateurs,المستخدمين,χρήστες,Benutzer,utenti,Usuários,пользователи,用户,ユーザー,pengguna,उपयोगकर्ताओं,ব্যবহারকারীদের
complete,completo,complet,مكتمل,πλήρης,vollständig,completare,completo,полный,完全的,完了,menyelesaikan,पूरा,সম্পূর্ণ
street,calle,rue,شارع,δρόμος,Straße,strada,rua,улица,街道,通り,jalan,गली,রাস্তা
topic,tema,sujet,عنوان,θέμα,Thema,argomento,tópico,тема,话题,トピック,topik,विषय,বিষয়
comment,comentario,commentaire,تعليق,σχόλιο,Kommentar,commento,comentário,комментарий,评论,コメント,komentar,टिप्पणी,মন্তব্য
financial,financiero,financier,مالي,οικονομικός,finanziell,finanziario,financeiro,финансовый,金融的,金融,finansial,वित्तीय,আর্থিক
things,cosas,des choses,أشياء,πράγματα,Dinge,cose,coisas,вещи,事物,もの,hal-hal,चीज़ें,জিনিস
working,laboral,fonctionnement,عمل,εργαζόμενος,Arbeiten,lavorando,trabalhando,работающий,在职的,働く,bekerja,कार्यरत,কাজ
against,contra,contre,ضد,κατά,gegen,contro,contra,против,反对,に対して,melawan,ख़िलाफ़,বিরুদ্ধে
standard,estándar,standard,معيار,πρότυπο,Standard,standard,padrão,стандартный,标准,標準,standar,मानक,মান
tax,impuesto,impôt,ضريبة,φόρος,Steuer,tassare,imposto,налог,税,税,pajak,कर,ট্যাক্স
person,persona,personne,شخص,πρόσωπο,Person,persona,pessoa,человек,人,人,orang,व्यक्ति,ব্যক্তি
below,abajo,ci-dessous,أقل,παρακάτω,unten,sotto,abaixo,ниже,以下,下に,di bawah,नीचे,নীচে
mobile,móvil,mobile,متحرك,κινητός,Mobile,mobile,móvel,мобильный,移动的,携帯,seluler,गतिमान,মোবাইল
less,menos,moins,أقل,μείον,weniger,meno,menos,меньше,较少的,少ない,lebih sedikit,कम,কম
got,consiguió,a obtenu,يملك,πήρε,bekommen,avuto,pegou,получил,得到,得た,telah mendapatkan,प्राप्त,পেয়েছি
blog,blog,bloguer,مدونة,blog,Blog,blog,blog,блог,博客,ブログ,blog,ब्लॉग,ব্লগ
party,fiesta,faire la fête,حزب,κόμμα,Party,festa,festa,вечеринка,派对,パーティー,berpesta,दल,পার্টি
payment,pago,paiement,قسط,πληρωμή,Zahlung,pagamento,pagamento,оплата,支付,支払い,pembayaran,भुगतान,পেমেন্ট
equipment,equipo,équipement,معدات,εξοπλισμός,Ausrüstung,attrezzatura,equipamento,оборудование,设备,装置,peralatan,उपकरण,সরঞ্জাম
login,acceso,se connecter,تسجيل الدخول,σύνδεση,Login,login,Conecte-se,авторизоваться,登录,ログイン,login,लॉग इन करें,লগইন
student,alumno,étudiant,طالب,φοιτητής,Student,studente,estudante,студент,学生,学生,murid,विद्यार्थी,ছাত্র
let,dejar,laisser,يترك,αφήνω,lassen,permettere,deixar,позволять,让,させて,membiarkan,होने देना,যাক
programs,programas,programmes,البرامج,προγράμματα,Programme,programmi,programas,программы,节目,プログラム,program,कार्यक्रमों,প্রোগ্রাম
offers,ofertas,offres,العروض,προσφορές,Angebote,offerte,ofertas,предложения,优惠,オファー,penawaran,ऑफर,অফার
legal,legal,légal,قانوني,νομικός,legal,legale,jurídico,юридический,合法的,法律上の,legal,कानूनी,আইনি
above,arriba,au-dessus de,فوق,πάνω από,über,Sopra,acima,выше,多于,その上,di atas,ऊपर,উপরে
recent,reciente,récent,مؤخرًا,πρόσφατος,jüngste,recente,recente,недавний,最近的,最近の,terkini,हाल ही का,সাম্প্রতিক
park,parque,parc,حديقة,πάρκο,Park,parco,parque,парк,公园,公園,taman,पार्क,পার্ক
small,pequeño,petit,صغير,μικρό,klein,piccolo,pequeno,маленький,小的,小さい,kecil,छोटा,ছোট
side,lado,côté,جانب,πλευρά,Seite,lato,lado,сторона,边,側,samping,ओर,পক্ষ
act,acto,acte,يمثل,πράξη,Akt,atto,agir,действовать,行为,活動,bertindak,कार्य,কাজ
problem,problema,problème,مشكلة,πρόβλημα,Problem,problema,problema,проблема,问题,問題,masalah,संकट,সমস্যা
red,rojo,rouge,أحمر,κόκκινος,Rot,rosso,vermelho,красный,红色的,赤,merah,लाल,লাল
give,dar,donner,يعطي,δίνω,geben,Dare,dar,давать,给,与える,memberi,देना,দিতে
memory,memoria,mémoire,ذاكرة,μνήμη,Erinnerung,memoria,memória,память,记忆,メモリ,ingatan,याद,স্মৃতি
performance,actuación,performance,أداء,εκτέλεση,Leistung,prestazione,desempenho,производительность,表现,パフォーマンス,pertunjukan,प्रदर्शन,কর্মক্ষমতা
social,social,sociale,اجتماعي,κοινωνικός,sozial,sociale,social,социальный,社会的,社交,sosial,सामाजिक,সামাজিক
q,q,q,س,q,Q,Q,q,д,q,q,Q,क्यू,q
august,agosto,août,أغسطس,Αύγουστος,August,agosto,agosto,август,八月,8月,Agustus,अगस्त,আগস্ট
quote,cita,citation,يقتبس,παραθέτω,Zitat,citazione,citar,цитировать,引用,引用,mengutip,उद्धरण,উদ্ধৃতি
language,idioma,langue,لغة,γλώσσα,Sprache,lingua,linguagem,язык,语言,言語,bahasa,भाषा,ভাষা
story,historia,histoire,قصة,ιστορία,Geschichte,storia,história,история,故事,話,cerita,कहानी,গল্প
sell,vender,vendre,يبيع,πωλώ,verkaufen,vendere,vender,продавать,卖,売る,menjual,बेचना,বিক্রি
options,opciones,choix,خيارات,επιλογές,Optionen,opzioni,opções,параметры,选项,オプション,pilihan,विकल्प,বিকল্প
experience,experiencia,expérience,خبرة,εμπειρία,Erfahrung,esperienza,experiência,опыт,经验,経験,pengalaman,अनुभव,অভিজ্ঞতা
rates,tarifas,tarifs,معدلات,ποσοστά,Tarife,tariffe,taxas,ставки,费率,料金,tarif,दरें,হার
create,crear,créer,يخلق,δημιουργώ,erstellen,creare,criar,создавать,创造,作成する,membuat,बनाएं,তৈরি
key,llave,clé,مفتاح,κλειδί,Schlüssel,chiave,chave,ключ,钥匙,鍵,kunci,चाबी,চাবি
body,cuerpo,corps,جسم,σώμα,Körper,corpo,corpo,тело,身体,体,tubuh,शरीर,শরীর
young,joven,jeune,شاب,νέος,jung,giovane,jovem,молодой,年轻的,若い,muda,युवा,তরুণ
america,América,Amérique,أمريكا,Αμερική,Amerika,America,América,Америка,美国,アメリカ,Amerika,अमेरिका,আমেরিকা
important,importante,important,مهم,σπουδαίος,wichtig,importante,importante,важный,重要的,重要,penting,महत्वपूर्ण,গুরুত্বপূর্ণ
field,campo,champ,مجال,πεδίο,Feld,campo,campo,поле,场地,分野,bidang,मैदान,ক্ষেত্র
few,pocos,peu,عدد قليل,λίγοι,wenige,pochi,alguns,немного,很少,少し,sedikit,कुछ,কিছু
east,este,est,شرق,Ανατολή,Ost,est,leste,восток,东方,東,timur,पूर्व,পূর্ব
paper,papel,papier,ورق,χαρτί,Papier,carta,papel,бумага,纸,紙,kertas,कागज़,কাগজ
single,soltero,célibataire,أعزب,μονόκλινο,einzel,separare,solteiro,одинокий,单身的,シングル,lajang,अकेला,একক
ii,ii,ii,ثانيا,ii,ii,ii,eu,ii,二、,ii,ii,द्वितीय,ii
age,edad,âge,عمر,ηλικία,Alter,età,idade,возраст,年龄,年,usia,आयु,বয়স
activities,actividades,activités,أنشطة,δραστηριότητες,Aktivitäten,attività,atividades,деятельность,活动,活動,kegiatan,गतिविधियाँ,কার্যক্রম
club,club,club,club,λέσχη,Verein,club,clube,клуб,俱乐部,クラブ,klub,क्लब,ক্লাব
example,ejemplo,exemple,مثال,παράδειγμα,Beispiel,esempio,exemplo,пример,例子,例,contoh,उदाहरण,উদাহরণ
girls,chicas,filles,فتيات,κορίτσια,Mädchen,ragazze,garotas,девушки,女孩们,女の子,cewek-cewek,लड़कियाँ,মেয়েরা
additional,adicional,supplémentaire,إضافي,επιπλέον,zusätzlich,aggiuntivo,adicional,дополнительный,额外的,追加,tambahan,अतिरिक्त,অতিরিক্ত
password,contraseña,mot de passe,كلمة المرور,σύνθημα,Passwort,password,senha,пароль,密码,パスワード,kata sandi,पासवर्ड,পাসওয়ার্ড
z,z,z,ض,z,z,z,z,я,z,z,z,जेड,z
latest,el último,dernier,أحدث,αργότερο,letzte,ultimo,mais recente,последний,最新的,最新,terbaru,नवीनतम,সর্বশেষ
something,algo,quelque chose,شئ ما,κάτι,etwas,qualcosa,algo,что-нибудь,某物,何か,sesuatu,कुछ,কিছু
road,camino,route,طريق,δρόμος,Straße,strada,estrada,дорога,路,道,jalan,सड़क,রাস্তা
gift,regalo,cadeau,هدية,δώρο,Geschenk,regalo,presente,подарок,礼物,贈り物,hadiah,उपहार,উপহার
question,pregunta,question,سؤال,ερώτηση,Frage,domanda,pergunta,вопрос,问题,質問,pertanyaan,सवाल,প্রশ্ন
changes,cambios,changements,التغييرات,αλλαγές,Änderungen,cambiamenti,mudanças,изменения,变化,変化,perubahan,परिवर्तन,পরিবর্তন
night,noche,nuit,ليلة,νύχτα,Nacht,notte,noite,ночь,夜晚,夜,malam,रात,রাত
ca,California,Californie,كاليفورنيا,περ,ca,ca,ca,Калифорния,加州,およそ,ca,सीए,ca
hard,duro,dur,صعب,σκληρά,hart,difficile,duro,жесткий,难的,難しい,keras,मुश्किल,কঠিন
texas,Texas,Texas,تكساس,Τέξας,Texas,Texas,texas,Техас,德克萨斯州,テキサス,texas,टेक्सास,টেক্সাস
oct,oct,octobre,أكتوبر,Οκτ,Okt,ott,outubro,октябрь,十月,10月,Oktober,अक्टूबर,অক্টো
pay,pagar,payer,يدفع,πληρωμή,zahlen,paga,pagar,платить,支付,支払う,membayar,वेतन,বেতন
save,ahorrar,sauvegarder,يحفظ,εκτός,speichern,salva,salvar,сохранять,节省,保存,menyimpan,बचाना,সংরক্ষণ
poker,póker,poker,لعبة البوكر,πόκερ,Poker,poker,pôquer,покер,扑克,ポーカー,poker,पोकर,জুজু
status,estado,statut,حالة,κατάσταση,Status,stato,status,статус,地位,状態,status,स्थिति,অবস্থা
browse,navegar,parcourir,تصفح,ξεφυλλίζω,durchsuchen,sfogliare,navegar,просматривать,浏览,ブラウズ,jelajahi,ब्राउज़,ব্রাউজ
issue,asunto,problème,مشكلة,ζήτημα,Ausgabe,problema,emitir,проблема,问题,問題,masalah,मुद्दा,সমস্যা
range,rango,gamme,يتراوح,σειρά,Reichweite,allineare,faixa,диапазон,范围,範囲,jangkauan,श्रेणी,পরিসীমা
building,edificio,bâtiment,مبنى,κτίριο,Gebäude,edificio,prédio,здание,建筑,建物,bangunan,इमारत,ভবন
seller,vendedor,vendeur,بائع,πωλητής,Verkäufer,venditore,vendedor,продавец,卖方,売り手,penjual,विक्रेता,বিক্রেতা
court,corte,tribunal,محكمة,δικαστήριο,Gericht,Tribunale,tribunal,суд,法庭,裁判所,pengadilan,अदालत,আদালত
february,febrero,février,فبراير,Φεβρουάριος,Februar,febbraio,fevereiro,февраль,二月,2月,Februari,फ़रवरी,ফেব্রুয়ারী
always,siempre,toujours,دائماً,πάντοτε,stets,Sempre,sempre,всегда,总是,いつも,selalu,हमेशा,সবসময়
result,resultado,résultat,نتيجة,αποτέλεσμα,Ergebnis,risultato,resultado,результат,结果,結果,hasil,परिणाम,ফলাফল
audio,audio,audio,صوتي,ήχου,Audio-,audio,áudio,аудио,声音的,オーディオ,audio,ऑडियो,অডিও
light,luz,lumière,ضوء,φως,Licht,leggero,luz,свет,光,ライト,lampu,रोशनी,আলো
write,escribir,écrire,يكتب,γράφω,schreiben,scrivere,escrever,писать,写,書く,menulis,लिखना,লিখুন
war,guerra,guerre,حرب,πόλεμος,Krieg,guerra,guerra,война,战争,戦争,perang,युद्ध,যুদ্ধ
nov,nov,nov,نوفمبر,Νοέμβριος,Nov,nov,novembro,ноябрь,十一月,11月,November,नवंबर,নভেম্বর
offer,oferta,offre,يعرض,προσφορά,Angebot,offerta,oferecer,предложение,提供,オファー,menawarkan,प्रस्ताव,অফার
blue,azul,bleu,أزرق,μπλε,Blau,blu,azul,синий,蓝色的,青,biru,नीला,নীল
groups,grupos,groupes,المجموعات,ομάδες,Gruppen,gruppi,grupos,группы,团体,グループ,kelompok,समूह,গ্রুপ
al,Alabama,al,آل,al,al,al,tudo,аль,阿尔,アル,al,अल,আল
easy,fácil,facile,سهل,εύκολος,einfach,facile,fácil,легкий,简单的,簡単,mudah,आसान,সহজ
given,dado,donné,منح,δεδομένος,gegeben,dato,dado,данный,给定,与えられた,diberikan,दिया गया,দেওয়া
files,archivos,fichiers,ملفات,αρχεία,Dateien,file,arquivos,файлы,文件,ファイル,file,फ़ाइलें,ফাইল
event,evento,événement,حدث,συμβάν,Ereignis,evento,evento,событие,事件,イベント,peristiwa,आयोजन,ঘটনা
release,liberar,libérer,يطلق,ελευθέρωση,freigeben,pubblicazione,liberar,выпускать,发布,リリース,melepaskan,मुक्त करना,মুক্তি
analysis,análisis,analyse,تحليل,ανάλυση,Analyse,analisi,análise,анализ,分析,分析,analisa,विश्लेषण,বিশ্লেষণ
request,pedido,demande,طلب,αίτηση,Anfrage,richiesta,solicitar,запрос,要求,リクエスト,meminta,अनुरोध,অনুরোধ
fax,fax,fax,فاكس,φαξ,Fax,fax,fax,факс,传真,ファックス,fax,फैक्स,ফ্যাক্স
china,porcelana,Chine,الصين,Κίνα,China,Cina,China,Китай,中国,中国,Cina,चीन,চীন
making,haciendo,fabrication,تحضير,κατασκευή,Herstellung,fabbricazione,fazendo,изготовление,制作,作る,membuat,निर्माण,তৈরী
picture,imagen,image,صورة,εικόνα,Bild,immagine,foto,картина,图片,写真,gambar,चित्र,ছবি
